1.785256073027498891e+00,-2.099978047223798397e-02,2.606987031564437368e-02,3.820361303486741189e-02,-1.036322660211085323e+00,-4.780109989181400842e-01
1.753004366863952557e+00,-2.054646512419660773e-02,2.561110642752932945e-02,3.698423223068005722e-02,-1.022738154123903787e+00,-4.648879227922320112e-01
1.721485981277099508e+00,-2.010120108342126899e-02,2.516067474200496187e-02,3.601504431818308011e-02,-1.009450220568093748e+00,-4.518592095369187156e-01
1.690654881765645268e+00,-1.966422847725051576e-02,2.471800817992676758e-02,3.513109538388912295e-02,-9.965237784788586461e-01,-4.389641539342138965e-01
1.660555239551072315e+00,-1.923493913822895210e-02,2.428376527606405932e-02,3.429765697918822631e-02,-9.839427079909974783e-01,-4.262113282016402604e-01
1.631211243634334895e+00,-1.881292957994528531e-02,2.385829588183845801e-02,3.350063256637345055e-02,-9.716817769065080324e-01,-4.136089881800750212e-01
1.602604840419042942e+00,-1.839819321733037263e-02,2.344138895213595739e-02,3.273260682344835554e-02,-9.597177549902111693e-01,-4.011684352093363715e-01
1.574715687789463692e+00,-1.799074384638863627e-02,2.303281504565518611e-02,3.198905859638192378e-02,-9.480281501678796685e-01,-3.889002677282326625e-01
1.547522589261034032e+00,-1.759060146350738610e-02,2.263234562337283415e-02,3.126693436055279218e-02,-9.365918180606952470e-01,-3.768143536345570088e-01
1.521004174054750413e+00,-1.719778550927901495e-02,2.223976130698668285e-02,3.056400476251324577e-02,-9.253891460254438650e-01,-3.649198275150935533e-01
1.495139272378040785e+00,-1.681231117730345656e-02,2.185485567226674170e-02,2.987853342125845746e-02,-9.144020621040053198e-01,-3.532251193757300900e-01
1.469907152529269068e+00,-1.643418717490381306e-02,2.147743702077834979e-02,2.920908732560082224e-02,-9.036139606183243300e-01,-3.417380178723780637e-01
1.445318504031855689e+00,-1.606316715671015152e-02,2.110767638647648506e-02,2.855485674390438600e-02,-8.930317055253557124e-01,-3.304891235024499108e-01
1.421603636976690455e+00,-1.569729625829041283e-02,2.074817564599575406e-02,2.791814544784970709e-02,-8.828206086599880154e-01,-3.196721048616474325e-01
1.398736613896503389e+00,-1.533671010167056772e-02,2.039862581468153760e-02,2.729741926537554084e-02,-8.729627433136054604e-01,-3.092812116840122916e-01
1.376695658873275940e+00,-1.498150964684864458e-02,2.005878393310031940e-02,2.669114259737543488e-02,-8.634429193964933136e-01,-2.993134191660346555e-01
1.355465229365233837e+00,-1.463174861441340034e-02,1.972849207661094353e-02,2.609771774162299510e-02,-8.542495493611698132e-01,-2.897702215478689114e-01
1.335039634111454765e+00,-1.428741197583417721e-02,1.940771233713843580e-02,2.551543880708586828e-02,-8.453762077387442231e-01,-2.806607323845559665e-01
1.315429753385135125e+00,-1.394837655833080538e-02,1.909659384447615071e-02,2.494252948637058070e-02,-8.368245628218262677e-01,-2.720073802957387321e-01
